Learning Rate, Activation Function, Weight Decay, Hidden Layers, Validation Error
0.0240063945215, relu, 0.000237971088858, 128 64, 0.66774725914
0.206066207821, leaky_relu, 0.0145436450565, 128 96, 0.706119120121
0.000175457466695, relu, 0.00639819946184, 128 96 32, 0.630946993828
0.00259933370447, relu, 5.26730459477e-05, 128 64 96 32, 0.686537981033
0.119683197372, relu, 0.000865267269512, 128 32, 0.98592042923
0.143002587475, leaky_relu, 0.00735609057315, 128 96 64 32, 87.0696487427
0.65542116349, relu, 8.42785919659e-05, 32 128 64, 1.00101339817
0.000951514518234, leaky_relu, 6.42622271733e-05, 64 128 32 96, 0.730682253838
0.0310573381545, relu, 0.0452609711567, 32 64 128, 0.999989509583
0.0158038631535, leaky_relu, 1.27628671956e-05, 96 128 64, 0.699929594994
0.00736870027997, leaky_relu, 0.0013575818314, 32 96 128, 0.703958392143
0.000218231133808, relu, 0.000177270653172, 96 64, 0.655481219292
0.163498007873, leaky_relu, 0.000335180950643, 128 64 32, 1.17018187046
0.244923849509, leaky_relu, 1.01173224127e-05, 64 128 96, 206.562469482
0.000282565145853, relu, 0.00029706883869, 128 96, 0.658264756203
0.912139251298, relu, 0.0137791046703, 96 64 128 32, 7.47809934616
0.313154321139, relu, 0.0895418586438, 32 128 96, 1.05017387867
0.032534744733, leaky_relu, 5.16930652715e-05, 64 128 32 96, 0.835801124573
0.000275986095907, relu, 0.0119495606071, 64 128 32, 0.655385375023
0.000119912672077, relu, 0.0231840706147, 64 32 128, 0.6953535676
0.0222080917696, relu, 0.000160558264937, 96 128, 0.697585940361
0.0142085266016, leaky_relu, 0.00851853947976, 64 128 32 96, 0.804130196571
0.00101615396206, relu, 0.00149982089412, 32 64 128, 0.720744132996
0.0201956227161, relu, 0.00566648470925, 64 96 32, 0.620621800423
0.324142180018, leaky_relu, 9.59753312461e-05, 32 64 128, 38.8522224426
0.365996037117, relu, 0.0053540695396, 32 96, 0.999171435833
0.908979956955, leaky_relu, 0.000550058362688, 64 32, 24.0452251434
0.214173528664, leaky_relu, 0.00427370582024, 64 32 96, 0.983597874641
0.000224201559938, leaky_relu, 0.000140116958191, 64, 0.725726306438
0.000960264100812, leaky_relu, 0.0140473199713, 96, 0.629109084606
